-0.016617,-0.14232,-0.59699
-0.017587,-0.16395,-0.64817
-0.018595,-0.18649,-0.70135
-0.01964,-0.20991,-0.75685
-0.020724,-0.23421,-0.81432
-0.021845,-0.25933,-0.87413
-0.023002,-0.28536,-0.93559
-0.024196,-0.31236,-0.99924
-0.025425,-0.33971,-1.0628
-0.026687,-0.36798,-1.1329
-0.027982,-0.39693,-1.2001
-0.029306,-0.42648,-1.2731
-0.030659,-0.45656,-1.3331
-0.032036,-0.48707,-1.4019
-0.033435,-0.51788,-1.4768
-0.034852,-0.54886,-1.5555
-0.036283,-0.57985,-1.6282
-0.037723,-0.61066,-1.6694
-0.039166,-0.64108,-1.6905
-0.040606,-0.67086,-1.7936
-0.042037,-0.69973,-1.839
-0.043451,-0.72736,-1.8812
-0.04484,-0.7534,-1.9075
-0.046193,-0.77745,-1.9206
-0.047501,-0.79906,-1.9182
-0.048752,-0.813,-1.8977
-0.049934,-0.82737,-1.841
-0.051032,-0.83749,-1.6919
-0.052033,-0.84266,-1.5817
-0.052918,-0.84212,-1.4399
-0.053671,-0.83506,-1.2202
-0.054272,-0.8206,-1.052
-0.054699,-0.79779,-0.54049
-0.05493,-0.76564,-0.27519
-0.05494,-0.74235,-0.12555
-0.054702,-0.66011,-0.02346
-0.054187,-0.62787,-0.023079
-0.053364,-0.55106,1.1315
-0.052199,-0.45969,1.5695
-0.050655,-0.35262,1.3138
-0.048695,-0.22876,2.7473
-0.046276,0.0038856,3.2353
-0.043354,0.06517,3.1056
-0.03988,0.24418,3.4299
-0.035805,0.58837,4.3362
-0.031073,0.60394,4.4761
-0.025626,0.9045,5.9094
-0.019402,0.90911,5.3009
-0.012335,1.4099,5.6071
-0.0043554,1.6346,7.6554
0.0046119,2.2442,6.7627
0.014646,2.8379,6.9761
0.02583,2.4411,5.879
0.038254,3.5336,7.7678
0.052011,4.3909,8.1201
0.067201,4.0523,8.188
0.083928,4.6861,8.4569
0.1023,4.6696,8.3031
0.12244,4.4729,10.047
0.14447,5.9193,9.6305
0.16851,6.5694,9.1248
0.19471,6.1469,9.5992
0.22319,7.8849,10.405
0.25412,6.6738,9.8005
0.28765,8.4865,10.282
0.32394,7.9527,10.417
0.36317,8.9285,11.565
0.4055,8.7918,11.46
0.45113,7.9683,11.43
0.50024,9.3652,11.603
0.55304,9.3825,11.934
0.60974,9.5251,12.195
0.67055,9.6419,12.444
0.73569,9.6602,12.777
0.80539,9.9387,12.945
0.8799,9.9868,13.031
0.95945,10.121,13.074
1.0443,10.183,13.621
1.1347,10.215,13.792
1.2309,10.356,14.033
1.3332,10.425,14.318
1.4419,10.498,14.365
1.5572,10.543,14.56
1.6794,10.633,14.785
1.8088,10.679,15.056
1.9457,10.751,15.227
2.0904,10.806,15.454
2.2432,10.868,15.656
2.4043,10.921,15.821
2.574,10.983,15.996
2.7527,11.031,16.184
2.9405,11.089,16.358
3.1378,11.148,16.534
3.3448,11.196,16.711
3.5617,11.24,16.889
3.7887,11.29,17.064
4.0261,11.338,17.225
4.2741,11.381,17.371
4.5327,11.42,17.515
4.8021,11.459,17.665
